ASSOCIATION DES EXPLOITANTS QUAI DES MARQUES BORDEAUX,"4 400,00",Matériel pour manifestations
ASSOCIATION DES GUIDES INTERPRETES ET CONFERENCIER,"0,00",Locaux
D'AQUITAINE - AGICA,,
ASSOCIATION DES LOCATAIRES SEM-LM,"0,00",Locaux
ASSOCIATION DES MEDECINS RETRAITES ET DES VEUVES,"0,00",Locaux
ALLOCATAIRES DE LA CARMF DITE AMEREVE AQUITAINE,,
ASSOCIATION DES MUSULMANS DE LA GIRONDE,"0,00",Locaux
ASSOCIATION DES OEUVRES GIRONDINES DE PROTECTION DE,"0,00",Locaux
L'ENFANCE,,
ASSOCIATION DES OFFICIERS ET CADRES DE RESERVE DE,"0,00",Locaux
BORDEAUX GIRONDE,,
ASSOCIATION DES PARALYSES DE FRANCE - APF,"3 200,00",Matériel pour manifestations
ASSOCIATION DES PARENTS ET FUTURS PARENTS GAYS ET,"0,00",Locaux
LESBIENS APGL,,
ASSOCIATION DES PIEGEURS DE LA PRESQU'ILE D'AMBES,"0,00",Matériel pour manifestations
ASSOCIATION DES PRODUCTEURS DE GRAVES DE VAYRES,"0,00",Matériel pour manifestations
ASSOCIATION DES PROFESSIONNELS AQUITAINS DE LA,"0,00",Locaux
COMMUNICATION (APACOM),,
ASSOCIATION DES PSYCHOMOTRICIENS DE LA GIRONDE,"0,00",Locaux
ASSOCIATION DES RETRAITES IRSEA D'AQUITAINE (ARIA),"0,00","Matériel pour manifestations, locaux"
ASSOCIATION DES RIVERAINS DE L'IMPASSE GOURDIN,"1 000,00",Locaux
ASSOCIATION DES RIVERAINS DU QUARTIER ORNANO-GAVINIES,"1 000,00",Matériel pour manifestations
ASSOCIATION DES RIVERAINS DU QUARTIER SAINT GENES,"0,00",Matériel pour manifestations
ASSOCIATION DORSA BARLOW,"7 000,00",
ASSOCIATION DU COMITE DES OEUVRES SOCIALES DES,"380 000,00",
MUNICIPAUX DE BORDEAUX - ACOSMB,,
ASSOCIATION DU FLOCON A LA VAGUE,"0,00",Matériel pour manifestations
ASSOCIATION DU LIEN INTERCULTUREL FAMILIAL ET SOCIAL - ALIFS,"28 500,00",Locaux
ASSOCIATION DU PARC D'ACTIVITE DE BORDEAUX NORD,"2 800,00",
ASSOCIATION DU PATRIMOINE ISRAELITE D'AQUITAINE,"5 000,00",
ASSOCIATION DU PERSONNEL DE L'OPERA NATIONAL DE,"0,00",Equipements sportifs
BORDEAUX,,
ASSOCIATION DU SOUVENIR DES FUSILLES DE SOUGE,"0,00",Matériel pour manifestations
ASSOCIATION EDUCATIVE D'INSERTION SOCIALE (AEIS),"0,00",Equipements sportifs
ASSOCIATION EKOLO[GEEK],"1 400,00",
ASSOCIATION ELEVES INGENIEURS ARTS METIERS PARIS-TECH,"0,00",Matériel pour manifestations
CENTRE REGIONAL BORDEAUX TALENCE - AE ENSAM,,
ASSOCIATION EMMAUS AQUITAINE BORDEAUX FONDATEUR ABBE,"7 000,00",Locaux
PIERRE,,
ASSOCIATION ESPACE 33,"1 500,00",
ASSOCIATION ETUDIANTE CULTURELLE BOIS DE ROSE,"0,00",Locaux
ASSOCIATION FAIS ET REVE,"1 100,00",
ASSOCIATION FAMILIALE LAIQUE BASTIDE,"3 000,00",
ASSOCIATION FAMILIALE LAIQUE DE BORDEAUX NORD - AFL,"26 600,00",Locaux
ASSOCIATION FRANCAISE CONTRE LES MYOPATHIES - AFM,"0,00",Communication
ASSOCIATION FRANCAISE DE L'ECLAIRAGE - CENTRE REGIONAL,"0,00",Matériel pour manifestations
SUD-OUEST ATLANTIQUE,,
ASSOCIATION FRANCAISE DE PERSONNES SOUFFRANT DE,"0,00",Locaux
TROUBLES OBSESSIONNELS COMPULSIFS AFTOC,,
ASSOCIATION FRANCAISE DES JURISTES D'ENTREPRISE - AFJE,"0,00",Locaux
ASSOCIATION FRANCAISE DES MALADES DE LA THYROIDE,"0,00",Locaux
ASSOCIATION FRANCO-BRESILIENNE POUR LA RECHERCHE DE,"0,00",Equipements sportifs
L'EQUILIBRE - AFBRE,,
ASSOCIATION FRANCO-KURDE,"0,00",Equipements sportifs
ASSOCIATION FRANCO-TCHEQUE D'AQUITAINE,"0,00",Matériel pour manifestations
"ASSOCIATION FRANCO-VIETNAMIENNE, BORDEAUX-AQUITAINE","2 000,00",Locaux
ASSOCIATION FRANCOIS AUPETIT,"0,00",Locaux
ASSOCIATION FRERES DES HOMMES,"0,00",Locaux
ASSOCIATION GENERALE DES ENSEIGNANTS DES ECOLES ET,"0,00",Locaux
CLASSES MATERNELLES PUBLIQUES,,
ASSOCIATION GENERALE DES LOCATAIRES,"0,00",Locaux
ASSOCIATION GENERATION DUPATY,"10 623,00",Equipements sportifs
ASSOCIATION GESTION CENTRES PSYCHANALYTIQUES DE,"3 000,00",Locaux
CONSULTATIONS ET DE TRAITEMENT (CPCT) D'AQUITAINE,,
ASSOCIATION GIRONDINE D'EDUCATION SPECIALISEE ET DE,"45 000,00",Locaux
PREVENTION SOCIALE - AGEP,,
ASSOCIATION GIRONDINE DES ACTIVITES PROTEGEES - SPORT -,"0,00",Equipements sportifs
LOISIRS (AGAP - SPORT - LOISIRS),,
ASSOCIATION GIRONDINE DES INFIRMES MOTEURS CEREBRAUX -,"0,00",Locaux
AGIMC,,
ASSOCIATION GIRONDINE POUR L'AGRICULTURE PAYSANE (AGAP),"0,00",Locaux
ASSOCIATION GOLF D'ENTREPRISES INTER-ENTREPRISES GOLF DE,"0,00",Locaux
BORDEAUX - IEGB,,
ASSOCIATION HABILITEE DES JEUNES SAPEURS POMPIERS DE LA,"1 500,00",
BENAUGE,,
ASSOCIATION HORIZON CAUDERAN,"0,00",Matériel pour manifestations
ASSOCIATION INDEPENDANTE DE PARENTS D'ELEVES DU GROUPE,"0,00",Locaux
SCOLAIRE FLORNOY,,
"ASSOCIATION INTERNATIONALE POUR LA CULTURE, LE","0,00",Locaux
DEVELOPPEMENT ET LA PAIX (AICDP),,
ASSOCIATION JEUNESSE FUTSAL (AJF),"0,00",Equipements sportifs
ASSOCIATION JUDAIQUE ST SEURIN,"4 400,00",
ASSOCIATION LA COCCINELLE,"180 000,00",
ASSOCIATION LABA-JOUR,"3 600,00",Matériel pour manifestations
ASSOCIATION LAIQUE DU PRADO (ALP),"55 000,00",Locaux
ASSOCIATION LE MERLE MOQUEUR,"0,00","Matériel pour manifestations, locaux"
ASSOCIATION LE VILLAGE BORDEAUX SUD,"1 600,00",Matériel pour manifestations
ASSOCIATION LEA - UNIVERSITE BORDEAUX MONTAIGNE,"0,00",Locaux
ASSOCIATION LES CREANTS,"0,00",Locaux
ASSOCIATION LES Z ARPETES,"3 000,00",
ASSOCIATION LYCHORE,"0,00",Locaux
ASSOCIATION LYONNAISE PREVOYANCE DES TRAVAILLEURS,"0,00",Locaux
INDEPENDANTS DES ISOLES ET DES SALARIES - ALPTIS,,
ASSOCIATION MALADIE CHRONIQUE SPORT BIEN ETRE,"1 000,00",
ASSOCIATION MALINE,"0,00",Locaux
ASSOCIATION MARIE DE LUZE,"0,00",Locaux
ASSOCIATION MEMBRES DE LA LEGION D'HONNEUR DECORES AU,"500,00",
PERIL DE LEUR VIE SECTION AQUITAINE OUEST,,
ASSOCIATION MUSICALARUE,"0,00",Matériel pour manifestations
ASSOCIATION MUSICALE ORCHESTRE JEAN-CLAUDE FRANCOIS,"1 700,00",
ASSOCIATION NATIONALE DES AMIS DE JEAN MOULIN,"1 500,00",Locaux
ASSOCIATION NATIONALE DES HOSPITALIERS RETRAITES,"0,00",Locaux
ASSOCIATION NATIONALE DES JEUNES ENTREPRENEURS D,"3 000,00",
AQUITAINE,,
ASSOCIATION NATIONALE DES PUERICULTRICES DIPLOMEES ET,"0,00",Locaux
DES ETUDIANTES - ANPDE,,
"ASSOCIATION NATIONALE DES RETRAITES DE LA POSTE, DE","0,00",Locaux
FRANCE TELECOM ET DE LEURS FILIALES ANR,,
ASSOCIATION NATIONALE DES VISITEURS DE PRISON - ANVP,"300,00",
ASSOCIATION NATIONALE LE REFUGE,"3 000,00",Locaux
