web-scraper-start-url,nom,description,adresse,code postal,telephone,president,site web,categorie
https://assos.bordeaux.fr/association/detail/1254,LA COMPAGNIE GARANOTES,Conception et diffusion de spectacles musicaux,"15 rue Felix Faure                                 Maison 44, chez Christine Chanton                                                                                                             ",33600,06 62 46 51 76,null,www.garonotes.com,Culture
https://assos.bordeaux.fr/association/detail/1051,BOXE MIXE CLUB - BMC,Le respect des valeurs du vivre et du faire ensemble  : une donnée fondamentale. L’entraide et la solidarité issues de la philosophie des arts martiaux sont au sein de BMC ; des valeurs auxquelles nous sommes particulièrement attachées et que l’on peut retrouver à travers le code moral et universel pratiqué par la Boxe Mixte Martiale.,9 rue Clément Ader                                                                                                ,33560,06 09 60 27 31,null,null,Sport
https://assos.bordeaux.fr/association/detail/1586,LA RECRE CITOYENNE,Promouvoir la Non-Violence et le « mieux vivre ensemble » auprès des jeunes dès le primaire et leur permettre de devenir des citoyens responsables et capables de faire face sereinement à des situations de conflits.,171 rue Naujac                                                                                                ,33000,06 03 01 02 46,null,,Education - Enfance - Jeunesse - Vie étudiante
https://assos.bordeaux.fr/association/detail/651,L'OUTIL EN MAIN DE LA GIRONDE - OEMG,"L'objet de l'association est l'initiation des jeunes de 9 à 14 ans aux métiers du patrimoine et aux métiers manuels par des gens de métier, dans un cadre d'atelier ou tout autre lieu connexe.",20 rue des Fauvettes                                                                                                ,33200,06 80 06 38 59,null,null,Education - Enfance - Jeunesse - Vie étudiante
https://assos.bordeaux.fr/association/detail/1303,ESCAPADE EN POLYNÉSIE,"L'association propose son école de danse tahitienne ""Tereva Ori Tahiti"" pour toutes les personnes désirant faire du sport différemment (renforcement musculaire, stretching, techniques de la danse), ou pour les passionnées de la danse exotique. Un cours assuré par un professeur de danse tahitienne originaire de Tahiti, et toute la culture polynésienne dans sa globalité (danse, spectacle, confection de costumes).",1 chemin de Laroque                                                                                                ,33410,06 74 34 06 42,null,null,Culture
https://assos.bordeaux.fr/association/detail/845,CLUB DE LA PRESSE DE BORDEAUX - CDLPDB,"Le Club de la presse de Bordeaux souhaite faciliter la circulation de l’information, le travail et la vie professionnelle des journalistes, servir d’interface entre ceux qui ont besoin de communiquer (citoyens, associations, entreprises, institutions…) et les médias, jouer un rôle de soutien pour les pigistes, ainsi que pour les étudiants en journalisme ou en communication.",9 rue des Capérans                                                                 BP 46                                ,33025,05 56 44 03 65,null,www.club-presse-bordeaux.fr,Economie
https://assos.bordeaux.fr/association/detail/727,IMAGINA MUSIC,Production et diffusion de spectacles vivants. Développement d'activités artistiques musicales,16 rue Chabrely                                                                                                ,33100,05 56 86 40 18,null,www.imaginamusic.fr,Culture
https://assos.bordeaux.fr/association/detail/1154,CLAP SUD OUEST,"Le Clap œuvre à la construction d'une société interculturelle, pour la promotion des personnes, groupes, associations et l'accès à la citoyenneté de tous.",176-182 rue Guillaume Leblanc                                                                                                ,33000,05 57 01 56 90,null,null,"Emploi, insertion professionnelle, formation"
https://assos.bordeaux.fr/association/detail/551,R2 JEUX,"L’association donne une seconde vie aux jouets et permet à chacun d’acquérir des jouets de qualité à tout petit prix. 
La boutique est un lieu de vie et de partage pour les petits et grands joueurs. 
A travers une activité ludique et solidaire l’association favorise le retour à l’activité des personnes éloignées de l’emploi. R’2 Jeux est la seule association en Nouvelle Aquitaine dans cette démarche de revalorisation",41 rue st joseph                                                                                                ,33000,06 60 09 36 27,null,www.r2jeux.org,"Emploi, insertion professionnelle, formation"
https://assos.bordeaux.fr/association/detail/1655,HANDIPARENTALITÉ,,pas d'adresse,,,null,null,null
https://assos.bordeaux.fr/association/detail/944,BÉNÉVOLES EN ACTION,"Association de bénévoles dont l'activité principale est d'intervenir sur des événements bordelais.Tels que: le marathon de Bordeaux, les Olympiades des métiers, Bordeaux fête le vin, le fleuve ou les Journées du patrimoine.... Chaque membre peut s'inscrire aux événements, au gré de ses envies et de ses disponibilités. Tout est proposé...rien est imposé !!!",31 rue Lachassaigne                                                                                                ,33000,06 61 09 20 42,null,,Culture
https://assos.bordeaux.fr/association/detail/689,MAGIK'HÔPITAL,"Magik’Hôpital, créée en 2014, à Bordeaux, avec le soutien du Lions Club de Bordeaux-Mérignac, a pour objectif de faire oublier, durant quelques instants, l’angoisse et la souffrance aux enfants hospitalisés grâce à des tours de magie conçus par des magiciens bénévoles.",319 cours du Maréchal Gallieni                                                                                                ,33000,06 12 98 96 41,Serge Arriailh,www.magikhopital.fr,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/1642,ÉCOMÉGOT,"EcoMégot est une association de préfiguration qui oeuvre pour la sensibilisation, la collecte et le recyclage des mégots de cigarette. 
Sensibiliser sur ce petit déchet, qui est pourtant très polluant pour l'environnement urbain et naturel, permet l'adoption des bons gestes. La collecte et le recyclage offrent aux collectivités, aux privés et aux festivals une solution de récupération et de traitement des mégots.",91 Rue Nuyens                                                                                                ,33100,09 80 08 51 08,null,ecomegot.com,Cadre de vie environnement
