Année,nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
2016,NEW BASKET ATTITUDE,10000,Equipements sportifs
2016,PERMANENCES DE LA LITTERATURE,10000,"Communication, matériel informatique"
2016,PROXIMA CENTAURI,10000,
2016,RESEAU ENTREPRENDRE AQUITAINE,10000,Matériel pour manifestations
2016,RESTAURANTS DU COEUR - RELAIS DU COEUR DE LA GIRONDE,10000,Locaux
2016,SOCIETE PHILOMATHIQUE DE BORDEAUX,10000,Locaux
2016,STADE BASTIDE BORDEAUX BENAUGE - S3B,10000,"Locaux, équipements sportifs"
2016,TERRE ET OCEAN,10000,Locaux
2016,SEW & LAINE,9980,"Locaux, matériel pour manifestations"
2016,ARESVI,9880,
2016,RICOCHET SONORE,9750,"Locaux, matériel pour manifestations"
2016,CULTURES DU COEUR GIRONDE,9600,
2016,RECHERCHES ET SOLIDARITES,9520,
2016,DROP DE BETON,9500,Matériel pour manifestations
2016,LES VIVRES DE L'ART,9500,Matériel pour manifestations
2016,SOCIETE DE SAINT-VINCENT-DE-PAUL - CONSEIL DEPARTEMENTAL DE LA GIRONDE,9500,Locaux
2016,ASSOCIATION DES COMMERCANTS DE CAUDERAN SAINT AMAND,9400,
2016,INSTITUT FRANCAIS DE GEORGIE,9000,
2016,L'AGENCE CREATIVE,9000,Locaux
2016,LA FLECHE DE BORDEAUX ,9000,"Locaux, équipements sportifs, matériel pour"
2016,LES P'TITS GRATTEURS,9000,"Locaux, matériel pour manifestations"
2016,LIGUE INTERNATIONALE CONTRE LE RACISME ET L'ANTISEMITISME - SECTION BORDEAUX & GIRONDE - LICRA,9000,Matériel pour manifestations
2016,ZEKI,9000,
2016,ASSOCIATION DES BROCANTEURS DES CHARTRONS - ABC,8907,Matériel pour manifestations
2016,CLUB SERVICES 33,8800,
2016,LANGUES EN SCÈNE,8640,
2016,AMICALE DES PARENTS D'ELEVES DE L'ECOLE STEHELIN,8605,
2016,BORDEAUX CHANSON,8500,Locaux
2016,"ASSOCIATION DES COMMERCANTS ""BARRIERE DE PESSAC"" BORDEAUX-TALENCE",8400,
2016,HOCKEY GARONNE SPORT,8308,"Locaux, équipements sportifs"
2016,VILLAGE DE LA GROSSE CLOCHE,8300,Matériel pour manifestations
2016,CENTRE DE VOILE DE BORDEAUX LAC,8200,Locaux
2016,BORDEAUX ACCUEILLE,8000,"Locaux, matériel pour manifestations"
2016,COMITE REGIONAL UFOLEP AQUITAINE,8000,
2016,COMPAGNIE DES LUBIES,8000,
2016,CRYPSUM,8000,
2016,DEFI,8000,
2016,L'ENVERS,8000,
2016,LA COMPAGNIE BOUGRELAS,8000,
2016,LE COKTAIL,8000,
2016,THEATRE POPULAIRE JOB,8000,Locaux
2016,UNION DEPARTEMENTALE DES ASSOCIATIONS DE COMBATTANTS ET VICTIMES DE GUERRE DE LA GIRONDE (UDAC),8000,
2016,APSARAS,7932,
2016,DANSE AVEC NOUS,7800,"Communication, locaux, matériel pour manifestations"
2016,MONTS ET MERVEILLES,7800,Locaux
2016,UNION BORDEAUX NORD DES ASSOCIATIONS DE PREVENTION SPECIALISEE,7800,
2016,"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE BORDEAUX",7600,"Locaux, matériel pour manifestations"
2016,GRAND PORT MARITIME DE BORDEAUX,7600,
2016,AQUITAINE ACTIVE,7500,
2016,LE GIROFARD,7500,Matériel pour manifestations
2016,ASSOCIATION DES COMMERCANTS DE SAINT-AUGUSTIN,7475,"Locaux, matériel pour manifestations"
2016,KAN-KRA TEAM,7370,Equipements sportifs
2016,CALK - COMITE D'ANIMATION LAFONTAINE KLEBER,7300,"Locaux, matériel pour manifestations"
2016,RECUP'R,7100,Matériel pour manifestations
2016,ASSOCIATION RENAISSANCE DES CITES D'EUROPE,7000,Locaux
2016,BORDEAUX OPEN AIR,7000,Matériel pour manifestations
2016,CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES DE LA GIRONDE,7000,
2016,CENTRE REGIONAL D'ECO-ENERGETIQUE D'AQUITAINE - CREAQ,7000,Locaux
2016,IMPACTS AQUITAINE,7000,"Locaux, équipements sportifs"
2016,LA TIERCE,7000,
2016,LOGEA,7000,
2016,FOYER SOCIO-EDUCATIF HORTICOLE,7000,
2016,VIVRE A CAUDERAN,6900,Matériel pour manifestations
2016,UNION DEPARTEMENTALE CONSOMMATION LOGEMENT ET CADRE DE VIE,6800,
2016,ACTIMAGE,6500,
2016,LES CAPRICES DE MARIANNE,6500,
2016,TOMBES DU CIEL,6500,
2016,TUTTI,6500,
2016,VERY CHEAP PRODUCTION,6500,
2016,LE FESTIN,6400,"Locaux, matériel pour manifestations, matériel"
2016,RUE BOUFFARD - ASSOCIATION DES COMMERCANTS,6182,
2016,UNION FRANCAISE SANTE BUCCO-DENTAIRE 33,6100,
2016,AGENCE LOCALE DE L'ENERGIE ET DU CLIMAT (ALEC),6000,Locaux
2016,CLAP SUD OUEST,6000,
2016,COMPAGNIE FOND VERT,6000,
2016,COMPAGNIE LE GRAIN,6000,
2016,J'ADORE CE QUE VOUS FAITES,6000,
2016,LA CHIFFONE RIT,6000,
2016,LA MAISON DES FAMILLES DE BORDEAUX,6000,Locaux
2016,LES FEES PAPILLONS,6000,
2016,MAISON DES FEMMES DE BORDEAUX,6000,"Locaux, matériel pour manifestations"
2016,MANDORA,6000,"Locaux, matériel pour manifestations"
2016,RENAISSANCE DE L'ORGUE A BORDEAUX,6000,"Locaux, matériel pour manifestations"
2016,ASSOCIATION JUDAIQUE ST SEURIN,5900,
2016,CDANSLABOITE,5750,Locaux
2016,ASSOCIATION DES COMMERCANTS DU GRAND PARC,5688,Matériel pour manifestations
2016,AIDES AQUITAINE,5500,
2016,ASSOCIATION CULTURELLE DU MARCHE DES CHARTRONS,5500,Locaux
2016,GRANDIR ENSEMBLE,5500,Equipements sportifs
2016,MERCI GERTRUDE,5500,Matériel pour manifestations
2016,VELO CITE,5394,Matériel pour manifestations
2016,ACCOMPAGNEMENT PSYCHOLOGIQUE ET MEDIATION INTERCULTURELLE - AMI,5000,
2016,ADORA,5000,Locaux
2016,AGORA DES ARTS,5000,Matériel pour manifestations
2016,ASSOCIATION DU PATRIMOINE ISRAELITE D'AQUITAINE,5000,
2016,ASSOCIATION GENERATION DUPATY,5000,Equipements sportifs
2016,ASSOCIATION OXYGENE,5000,"Locaux, matériel pour manifestations"
2016,BOXING CLUB ALAMELE,5000,
2016,CLUB REGIONAL DES ENTREPRISES POUR L'INSERTION DE GIRONDE,5000,
2016,COMPAGNIE HORS SERIE,5000,
2016,CROUS DE BORDEAUX (CENTRE REGIONAL DES OEUVRES UNIVERSITAIRES ET SCOLAIRES),5000,
2016,FEDERATION FRANCAISE D'ATHLETISME,5000,
2016,GUYENNE HANDI-NAGES,5000,Equipements sportifs
2016,LE DESSOUS DES BALANCOIRES,5000,
2016,LE PAIN DE L'AMITIE,5000,
